iter	Logloss
0	0.5984052101
1	0.5279096964
2	0.4677390856
3	0.418311671244	0.375131484955	0.338967136766	0.30856442577	0.289075504488	0.263451862
9	0.2415339304
10	0.2266651867
11	0.2125933849
12	0.1999171927
13	0.1919851893
14	0.1840064246
115	0.1723068248116	0.1670180921717	0.1612948518	18	0.1566792719	19	0.15292220	0.20	0.14854021	0.21	0.14554922	0.22	0.14304323	0.23	0.13959824	0.24	0.13734425	0.25	0.13492626	0.26	0.13324527	0.27	0.13126128	2828	0.12963229	2929	0.12820030	3030	0.12673231	3131	0.12488032	3232	0.12023333	333	0.119307534	334	0.1182335302335	0.117347236	336	0.1163355476337	0.1155019374338	0.1148740823939	0.1144190264040	0.1138275064141	0.1130966104242	0.1125061324343	0.1120614154444	0.1116707854545	0.1109816004646	0.1104942154747	0.1099251317
48	0.109405744
49	0.1091055682
50	0.108806426
51	0.1083260921
52	0.1079682893
53	0.1074837636
54	0.1072632412
55	0.1069062132
56	0.1065672258
57	0.1062247446
58	0.1059966416
59	0.1056327761
60	0.1052894438
61	0.1051681599
62	0.1048531674
63	0.1046314017
64	0.1044158937
65	0.1040964515
66	0.1037954888
67	0.1035623813
68	0.1033453584
69	0.1029772137
70	0.1028172949
71	0.1025697267
72	0.1022715256
73	0.1020390228
74	0.101750537
75	0.101500646
76	0.1011770579
77	0.1010833875
78	0.1008677683
79	0.1006325071
80	0.1004560075
81	0.1002682266
82	0.1000860916
83	0.1000144675
84	0.09992421283
85	0.09972804515
86	0.09958828291
87	0.09934024121
88	0.09915384086
89	0.09899361735
90	0.09880060682
91	0.09863693356
92	0.09853717
93	0.09847515394
94	0.09811026278
95	0.09787623456
96	0.09766970266
97	0.09754049632
98	0.09742774397
99	0.09731947607
100	0.09722439445
101	0.09704129015
102	0.09684113242
103	0.09683689884
104	0.09667830932
105	0.09653805556
106	0.09638840582
107	0.09623851259
108	0.09612667051
109	0.09602920906
110	0.09597562466
111	0.09583333237
112	0.09568241075
113	0.0954448578
114	0.09531696635
115	0.09516235184
116	0.09495541433
117	0.09491243285
118	0.0948005596
119	0.09462945495
120	0.09451175868
121	0.09429327404
122	0.09416802176
123	0.09404977708
124	0.09396095233
125	0.0938350155
126	0.09368225866
127	0.09359240791
128	0.09350071238
129	0.09342770037
130	0.09327431063
131	0.09316535258
132	0.0929382723
133	0.09282992443
134	0.09266813475
135	0.09251424697
136	0.09244880394
137	0.09221138671
138	0.09215893888
139	0.0920925241
140	0.09199776706
141	0.09174559362
142	0.09167313041
143	0.09160328814
144	0.09152647652
145	0.09132641483
146	0.09115704424
147	0.09098219844
148	0.0908536587
149	0.09071568849
150	0.09055488339
151	0.09048640433
152	0.09042632697
153	0.09008210275
154	0.08997649474
155	0.08982750908
156	0.08965240124
157	0.08961549526
158	0.0895388728
159	0.08932494908
160	0.08923784945
161	0.08915985727
162	0.08904382961
163	0.08894127704
164	0.08874449225
165	0.08850965005
166	0.08835692283
167	0.08831767247
168	0.08821227278
169	0.08809905135
170	0.08795235854
171	0.08778630316
172	0.08768625063
173	0.08753739688
174	0.08750111314
175	0.087343189
176	0.08712295702
177	0.08704973273
178	0.08696081054
179	0.08689852121
180	0.08681418982
181	0.08670318573
182	0.08663072061
183	0.0864985782
184	0.08639581089
185	0.08623166679
186	0.08602431753
187	0.08584719115
188	0.08557698827
189	0.08552066546
190	0.08541118485
191	0.08531410347
192	0.08516371046
193	0.08501011563
194	0.08483213499
195	0.08463684541
196	0.08456481113
197	0.0844175899
198	0.08432163095
199	0.08406957745
.08229034133
