iter	Passed	Remaining
0	231	46084
1	285	28230
2	370	24317
3	403	19779
4	428	16713
5	453	14678
6	471	13008
7	486	11682
8	506	10738
9	524	9969
10	542	9324
11	561	8793
12	581	8361
13	598	7957
14	615	7595
15	628	7224
16	644	6939
17	662	6698
18	679	6475
19	698	6286
20	720	6143
21	744	6027
22	765	5892
23	783	5747
24	800	5605
25	818	5475
26	838	5369
27	857	5269
28	876	5170
29	895	5076
30	914	4982
31	929	4881
32	943	4776
33	963	4703
34	984	4639
35	1004	4576336	1024	4513737	1044	4453838	1065	4393939	1082	4334040	1103	4274141	1124	4224242	1144	4174343	1167	4134444	1188	4094545	1210	4054646	1228	3994747	1248	3952
48	1268	3909
49	1287	3861
50	1306	3816
51	1325	3773
52	1345	3730
53	1364	3690
54	1382	3643
55	1402	3607
56	1420	3563
57	1438	3523
58	1456	3481
59	1473	3437
60	1492	3400
61	1511	3364
62	1532	3333
63	1552	3298
64	1571	3264
65	1591	3230
66	1614	3204
67	1632	3168
68	1654	3141
69	1673	3107
70	1689	3069
71	1711	3043
72	1734	3018
73	1755	2988
74	1774	2957
75	1792	2924
76	1814	2897
77	1836	2872
78	1856	2842
79	1875	2813
80	1894	2783
81	1917	2759
82	1940	2735
83	1961	2709
84	1985	2686
85	2006	2659
86	2025	2631
87	2046	2605
88	2063	2573
89	2081	2544
90	2096	2511
91	2111	2478
92	2127	2447
93	2144	2418
94	2161	2389
95	2179	2361
96	2198	2334
97	2217	2307
98	2234	2279
99	2253	2253
100	2275	2230
101	2302	2211
102	2325	2190
103	2343	2163
104	2364	2138
105	2384	2114
106	2401	2086
107	2421	2062
108	2440	2037
109	2461	2013
110	2480	1989
111	2500	1965
112	2520	1940
113	2536	1913
114	2552	1886
115	2571	1862
116	2591	1838
117	2610	1814
118	2632	1791
119	2658	1772
120	2682	1751
121	2706	1730
122	2736	1713
123	2763	1693
124	2784	1670
125	2804	1647
126	2821	1621
127	2839	1597
128	2858	1573
129	2875	1548
130	2894	1524
131	2912	1500
132	2934	1478
133	2949	1452
134	2966	1428
135	2982	1403
136	3002	1380
137	3023	1358
138	3043	1335
139	3063	1313
140	3083	1290
141	3109	1269
142	3124	1245
143	3139	1220
144	3154	1196
145	3170	1172
146	3189	1150
147	3204	1125
148	3219	1102
149	3235	1078
150	3252	1055
151	3266	1031
152	3281	1008
153	3297	985
154	3313	961
155	3329	939
156	3347	916
157	3363	894
158	3379	871
159	3394	848
160	3412	826
161	3427	803
162	3444	781
163	3459	759
164	3476	737
165	3491	715
166	3506	692
167	3522	670
168	3542	649
169	3559	628
170	3576	606
171	3593	584
172	3611	563
173	3627	542
174	3642	520
175	3658	498
176	3675	477
177	3697	457
178	3717	436
179	3735	415
180	3751	393
181	3768	372
182	3782	351
183	3800	330
184	3816	309
185	3832	288
186	3847	267
187	3863	246
188	3880	225
189	3893	204
190	3908	184
191	3923	163
192	3935	142
193	3946	122
194	3956	101
195	3968	80
196	3978	60
197	3989	40
198	4000	20
199	4011	0
